-1.44	6.13	-13.73	-20.91	9.73	16.91	
-5.88	28.65	-62.92	-92.33	50.92	80.33	
-7.68	25.99	-52.79	-91.18	38.79	77.18	
-8.20	26.25	-50.12	-91.11	40.12	81.11	
-7.71	25.20	-48.73	-87.27	38.73	77.27	
-7.36	24.67	-47.28	-84.06	39.28	76.06	
-7.00	24.00	-46.51	-81.51	38.51	73.51	
-7.75	25.70	-47.86	-86.62	41.86	80.62	
-8.07	24.40	-43.82	-84.17	37.82	78.17	
-8.05	23.21	-40.91	-81.15	34.91	75.15	
-7.28	22.89	-41.04	-77.44	37.04	73.44	
-5.92	23.63	-46.27	-75.86	42.27	71.86	
-4.77	26.27	-55.74	-79.61	51.74	75.61	
-4.27	25.74	-56.68	-78.04	50.68	72.04	
-3.51	24.74	-56.08	-73.61	50.08	67.61	
-2.35	24.51	-58.40	-70.13	52.40	64.13	
-2.53	22.74	-53.52	-66.19	47.52	60.19	
-2.57	22.92	-52.88	-65.72	48.88	61.72	
-2.35	22.43	-52.18	-63.96	48.18	59.96	
-1.58	22.81	-55.07	-62.98	51.07	58.98	
0.12	23.16	-60.20	-59.62	56.20	55.62	
1.87	23.95	-66.54	-57.21	62.54	53.21	
3.63	24.10	-71.32	-53.18	67.32	49.18	
5.10	23.00	-72.23	-46.75	68.23	42.75	
5.16	22.73	-71.71	-45.92	67.71	41.92	
4.45	20.97	-65.54	-43.29	61.54	39.29	
3.14	18.30	-56.58	-40.90	50.58	34.90	
2.82	15.14	-47.90	-33.80	41.90	27.80	
3.53	14.87	-48.00	-30.33	44.00	26.33	
4.96	16.29	-55.14	-30.32	51.14	26.32	
5.69	15.40	-54.72	-26.26	50.72	22.26	
6.04	14.69	-53.81	-23.63	49.81	19.63	
6.93	15.03	-56.89	-22.23	52.89	18.23	
6.35	13.48	-51.56	-19.82	47.56	15.82	
5.59	11.28	-44.17	-16.22	40.17	12.22	
4.82	10.99	-41.51	-17.42	37.51	13.42	
